date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:42	141/141	---M-Z	200	added ('OK')	text/plain	etag:%22489bac4e7ed41:0%22	https://m.daodejing.org/robots.txt		(from )
17:12:42	24634/24634	---M-Z	200	added ('OK')	text/html	etag:%225d93d78f95a5d41:0%22	https://m.daodejing.org/	C:/My%20Websites/m.daodejing/m.daodejing.org/index.html	(from )
17:12:42	66318/66318	---M-Z	200	added ('OK')	text/css	etag:%22441f13df5e95d21:0%22	https://m.daodejing.org/css/index.css	C:/My%20Websites/m.daodejing/m.daodejing.org/css/index.css	(from https://m.daodejing.org/)
17:12:42	9180/9180	---M--	200	added ('OK')	image/jpeg	etag:%22e8f96d39489bd21:0%22	https://m.daodejing.org/images/logo.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/logo.jpg	(from https://m.daodejing.org/)
17:12:43	12138/12138	---M--	200	added ('OK')	image/jpeg	etag:%224a7c5d6489bd21:0%22	https://m.daodejing.org/images/daodejing.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/daodejing.jpg	(from https://m.daodejing.org/)
17:12:43	4811/4811	---M-Z	200	added ('OK')	text/html	etag:%223389434695a5d41:0%22	https://m.daodejing.org/jianjie.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/jianjie.html	(from https://m.daodejing.org/)
17:12:43	3820/3820	---M-Z	200	added ('OK')	text/html	etag:%22a755464695a5d41:0%22	https://m.daodejing.org/laozi.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/laozi.html	(from https://m.daodejing.org/)
17:12:43	2785/2785	---M--	200	added ('OK')	image/jpeg	etag:%220cde44b5f92d21:0%22	https://m.daodejing.org/images/1.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/1.jpg	(from https://m.daodejing.org/)
17:12:44	12530/12530	---M-Z	200	added ('OK')	text/html	etag:%22fd51494695a5d41:0%22	https://m.daodejing.org/mingyan.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/mingyan.html	(from https://m.daodejing.org/)
17:12:44	3408/3408	---M--	200	added ('OK')	image/jpeg	etag:%22043955c5f92d21:0%22	https://m.daodejing.org/images/2.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/2.jpg	(from https://m.daodejing.org/)
17:12:44	2313/2313	---M--	200	added ('OK')	image/jpeg	etag:%220fb9ae05e92d21:0%22	https://m.daodejing.org/images/3.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/3.jpg	(from https://m.daodejing.org/)
17:12:44	24634/24634	---M-Z	200	added ('OK')	text/html	etag:%225d93d78f95a5d41:0%22	https://m.daodejing.org/index.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/index-2.html	(from https://m.daodejing.org/)
17:12:44	2744/2744	---M--	200	added ('OK')	image/jpeg	etag:%2201920475f92d21:0%22	https://m.daodejing.org/images/4.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/4.jpg	(from https://m.daodejing.org/)
17:12:45	3444/3444	---M-Z	200	added ('OK')	text/html	etag:%221ac43c4795a5d41:0%22	https://m.daodejing.org/download.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/download.html	(from https://m.daodejing.org/)
17:12:45	2846/2846	---M--	200	added ('OK')	image/jpeg	etag:%2203e7d968d92d21:0%22	https://m.daodejing.org/images/5.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/5.jpg	(from https://m.daodejing.org/)
17:12:45	6029/6029	---M-Z	200	added ('OK')	text/html	etag:%222a15e63195a5d41:0%22	https://m.daodejing.org/yiwen.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/yiwen.html	(from https://m.daodejing.org/)
17:12:45	2597/2597	---M--	200	added ('OK')	image/jpeg	etag:%220ca28605f92d21:0%22	https://m.daodejing.org/images/6.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/6.jpg	(from https://m.daodejing.org/)
17:12:46	3880/3880	---M-Z	200	added ('OK')	text/html	etag:%22ceeca186f914d51:0%22	https://m.daodejing.org/tingshu1.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/tingshu1.html	(from https://m.daodejing.org/)
17:12:46	3116/3116	---M--	200	added ('OK')	image/jpeg	etag:%22054784f5f92d21:0%22	https://m.daodejing.org/images/7.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/7.jpg	(from https://m.daodejing.org/)
17:12:46	6032/6032	---M-Z	200	added ('OK')	text/html	etag:%22a2be33195a5d41:0%22	https://m.daodejing.org/fanyi.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/fanyi.html	(from https://m.daodejing.org/)
17:12:46	3449/3449	---M--	200	added ('OK')	image/jpeg	etag:%220655b425f92d21:0%22	https://m.daodejing.org/images/8.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/8.jpg	(from https://m.daodejing.org/)
